number,state,value,model_type,feature_version,hidden_dim_1,hidden_dim_2,alpha,learning_rate_init,batch_size,max_iter,balanced_accuracy_mean,log_loss_mean,macro_f1_mean,train_time_s_mean,C
0,COMPLETE,0.20006627176344724,mlp,v1,128.0,32.0,0.003586020353844666,0.0001935579723537246,256.0,160.0,0.2876591496404116,0.9645169161460719,0.2748535715874427,0.3582178349606693,
1,COMPLETE,0.16705788799236326,mlp,v1,128.0,128.0,0.002835332137943243,0.00010540628559936551,128.0,160.0,0.2786412423978174,0.9702343032367168,0.25644374423738514,0.5872589736478403,
2,COMPLETE,0.275041791659142,mlp,v2,256.0,32.0,0.000279731278697844,0.000885937572239241,128.0,120.0,0.31378501549118104,1.0120906151678923,0.3053001287182597,0.45378926419653,
3,COMPLETE,0.2607545652622492,mlp,v2,128.0,128.0,7.1397058837748e-05,0.001562706781930456,64.0,200.0,0.304030824764289,0.9440168654790059,0.2912480859502954,0.3834324790164828,
4,COMPLETE,0.3421046923044146,logreg,v2,,,,,,,0.4002744723629297,1.2722283380579749,0.3597634124933315,14.405351213598625,2.6124424838247915
5,COMPLETE,0.34112955467179146,logreg,v2,,,,,,,0.39927751769935865,1.2485708377347604,0.3574994018842147,11.901708802604116,1.955971345038801
6,PRUNED,0.2225645408960477,mlp,v1,128.0,32.0,0.0010347286882850279,0.0022753291453859502,256.0,200.0,0.2955262304448014,0.9587520381465946,0.28057587631442127,0.22939367280341685,
7,COMPLETE,0.36721577316187914,logreg,v1,,,,,,,0.4036037266979301,1.1779249414711461,0.362383974511563,9.289361913804896,1.115861961007209
8,PRUNED,0.21751952525524576,mlp,v2,64.0,64.0,0.0013951095584714569,0.0021141665031455346,256.0,120.0,0.29177235227642484,0.9596813797282012,0.2809453145226851,0.16705673264805226,
9,COMPLETE,0.3439121907230203,logreg,v2,,,,,,,0.38584734796091225,1.3580901571942627,0.35227710150120295,19.159349604393356,6.268142965587868
