trial_id,number,state,datetime_start,datetime_complete,value,batch_size,dropout,hidden_dim_1,hidden_dim_2,lr,weight_decay
1,0,FAIL,2026-06-08 18:25:27.352617,2026-06-08 18:25:27.391491,,2.0,0.1,0.0,0.0,0.004094876010538339,0.00012034719545097351
8,0,FAIL,2026-06-08 18:33:05.554494,2026-06-08 18:33:05.707408,,1.0,0.5,3.0,2.0,0.0008350913924374802,2.112711910614851e-05
14,0,COMPLETE,2026-06-08 18:44:01.455116,2026-06-08 18:44:03.178438,0.0,2.0,0.5,1.0,2.0,0.0049233966189728565,1.913103868223959e-06
2,1,FAIL,2026-06-08 18:25:53.891301,2026-06-08 18:25:53.933968,,3.0,0.4,0.0,3.0,0.00043257065287471497,2.7316203791339758e-06
9,1,FAIL,2026-06-08 18:33:45.398877,2026-06-08 18:33:45.407836,,,,,,,
15,1,COMPLETE,2026-06-08 18:44:03.196183,2026-06-08 18:44:08.648228,0.0,0.0,0.2,1.0,3.0,0.0001172553320113412,1.737230343191696e-06
3,2,FAIL,2026-06-08 18:26:41.660738,2026-06-08 18:26:41.698228,,0.0,0.0,2.0,2.0,0.00010478777076598032,7.426221400450056e-05
10,2,FAIL,2026-06-08 18:34:40.861504,2026-06-08 18:34:41.769420,,2.0,0.1,0.0,0.0,0.0013849259368939656,0.0006722077850912493
16,2,COMPLETE,2026-06-08 18:44:08.661429,2026-06-08 18:44:09.564472,0.0,2.0,0.4,1.0,0.0,0.0005581169776130183,0.00026669847496230766
4,3,FAIL,2026-06-08 18:27:03.492437,2026-06-08 18:27:03.653573,,3.0,0.4,2.0,1.0,0.0023383959541421967,9.314392227791128e-05
11,3,FAIL,2026-06-08 18:35:10.879039,2026-06-08 18:35:11.908732,,3.0,0.4,1.0,0.0,0.0018829980697551115,0.0003771499294263684
17,3,COMPLETE,2026-06-08 18:44:09.580328,2026-06-08 18:44:10.072693,0.0,2.0,0.0,0.0,1.0,0.0001420952826716142,4.840574464031734e-05
5,4,FAIL,2026-06-08 18:27:24.642704,2026-06-08 18:27:24.805588,,3.0,0.5,3.0,3.0,0.0025434788829347796,0.0002789780750265096
12,4,COMPLETE,2026-06-08 18:35:44.523152,2026-06-08 18:35:46.054586,0.0,1.0,0.1,2.0,2.0,0.00932975731139674,1.674675742013866e-06
18,4,COMPLETE,2026-06-08 18:44:10.085603,2026-06-08 18:44:10.767184,0.0,2.0,0.1,3.0,3.0,0.006525306143233652,0.0009894223689231336
6,5,FAIL,2026-06-08 18:27:52.743247,2026-06-08 18:27:52.899945,,3.0,0.2,1.0,1.0,0.0001277213590350483,6.49432415291176e-05
13,5,COMPLETE,2026-06-08 18:35:46.068933,2026-06-08 18:35:47.045989,0.0,2.0,0.2,1.0,0.0,0.00010765701100076803,2.195106088847481e-05
7,6,FAIL,2026-06-08 18:28:20.019830,2026-06-08 18:28:20.208616,,0.0,0.30000000000000004,2.0,2.0,0.0014464649885599485,9.700509252564906e-06
